RegionID,RegionName,City,State,CountyName,SizeRank,Date,value
93315,80239,Denver,CO,Denver,3344,1996-05-01,93100.0
93316,80241,Thornton,CO,Adams,3426,1996-05-01,145700.0
93310,80234,Westminster,CO,Adams,3594,1996-05-01,140300.0
93298,80222,Denver,CO,Denver,3801,1996-05-01,130200.0
93322,80249,Denver,CO,Denver,4756,1996-05-01,130000.0
93289,80212,Denver,CO,Denver,4845,1996-05-01,104100.0
93300,80224,Denver,CO,Denver,5211,1996-05-01,152400.0
93284,80207,Denver,CO,Denver,5218,1996-05-01,86000.0
93314,80238,Denver,CO,Denver,5359,1996-05-01,131700.0
93319,80246,Denver,CO,Denver,5528,1996-05-01,147300.0
93299,80223,Denver,CO,Denver,5869,1996-05-01,83100.0
93688,81101,Alamosa,CO,Alamosa,6324,1996-05-01,52400.0
93218,80030,Westminster,CO,Adams,6779,1996-05-01,100400.0
93312,80236,Denver,CO,Denver,6891,1996-05-01,127600.0
93723,81201,Salida,CO,Chaffee,7547,1996-05-01,98900.0
93577,80863,Woodland Park,CO,Teller,7580,1996-05-01,149800.0
93737,81230,Gunnison,CO,Gunnison,7662,1996-05-01,99300.0
93306,80230,Denver,CO,Denver,8540,1996-05-01,255800.0
93493,80640,Commerce City,CO,Adams,8665,1996-05-01,144700.0
93725,81211,Buena Vista,CO,Chaffee,8677,1996-05-01,98700.0
93374,80421,Bailey,CO,Park,8799,1996-05-01,123400.0
93311,80235,Denver,CO,Denver,8995,1996-05-01,177800.0
93732,81224,Crested Butte,CO,Gunnison,9274,1996-05-01,212400.0
93551,80816,Florissant,CO,Teller,9542,1996-05-01,65400.0
93234,80102,Bennett,CO,Adams,10639,1996-05-01,123900.0
93265,80136,Strasburg,CO,Adams,10681,1996-05-01,126100.0
93549,80814,Divide,CO,Teller,10965,1996-05-01,102900.0
93396,80446,Granby,CO,Grand,11159,1996-05-01,102200.0
93393,80442,Fraser,CO,Grand,12023,1996-05-01,115500.0
93397,80447,Grand Lake,CO,Grand,12040,1996-05-01,123400.0
93392,80440,Fairplay,CO,Park,12096,1996-05-01,66800.0
93426,80482,Winter Park,CO,Grand,12277,1996-05-01,142700.0
93548,80813,Cripple Creek,CO,Teller,12902,1996-05-01,78700.0
93742,81236,Nathrop,CO,Chaffee,13610,1996-05-01,104800.0
93399,80449,Hartsel,CO,Park,14218,1996-05-01,30400.0
93562,80827,Lake George,CO,Park,14523,1996-05-01,76800.0
93405,80456,Jefferson,CO,Park,14686,1996-05-01,38100.0
93733,81225,Mount Crested Butte,CO,Gunnison,14722,1996-05-01,192400.0
93295,80219,Denver,CO,Denver,611,1996-06-01,84300.0
93252,80123,Denver,CO,Denver,753,1996-06-01,163900.0
93305,80229,Thornton,CO,Adams,943,1996-06-01,94800.0
93309,80233,Northglenn,CO,Adams,1106,1996-06-01,111100.0
93296,80220,Denver,CO,Denver,1249,1996-06-01,141000.0
93307,80231,Denver,CO,Denver,1272,1996-06-01,155200.0
93287,80210,Denver,CO,Denver,1326,1996-06-01,152400.0
93288,80211,Denver,CO,Denver,1388,1996-06-01,92600.0
93212,80022,Commerce City,CO,Adams,1681,1996-06-01,102200.0
93211,80021,Westminster,CO,Adams,1761,1996-06-01,131500.0
93282,80205,Denver,CO,Denver,1844,1996-06-01,69200.0
93280,80203,Denver,CO,Denver,1941,1996-06-01,135700.0
93320,80247,Denver,CO,Denver,1948,1996-06-01,139900.0
93281,80204,Denver,CO,Denver,2156,1996-06-01,73800.0
93297,80221,Sherrelwood,CO,Adams,2166,1996-06-01,95000.0
93219,80031,Westminster,CO,Adams,2261,1996-06-01,131200.0
93286,80209,Denver,CO,Denver,2327,1996-06-01,195700.0
93283,80206,Denver,CO,Denver,2331,1996-06-01,183900.0
93474,80601,Brighton,CO,Adams,2721,1996-06-01,128200.0
93330,80260,Thornton,CO,Adams,2863,1996-06-01,111000.0
93294,80218,Denver,CO,Denver,3055,1996-06-01,192100.0
93313,80237,Denver,CO,Denver,3118,1996-06-01,189700.0
93475,80602,Thornton,CO,Adams,3272,1996-06-01,170900.0
93315,80239,Denver,CO,Denver,3344,1996-06-01,93600.0
93316,80241,Thornton,CO,Adams,3426,1996-06-01,146000.0
93310,80234,Westminster,CO,Adams,3594,1996-06-01,140500.0
93298,80222,Denver,CO,Denver,3801,1996-06-01,130700.0
93322,80249,Denver,CO,Denver,4756,1996-06-01,130300.0
93289,80212,Denver,CO,Denver,4845,1996-06-01,104900.0
93300,80224,Denver,CO,Denver,5211,1996-06-01,152900.0
93284,80207,Denver,CO,Denver,5218,1996-06-01,86100.0
93314,80238,Denver,CO,Denver,5359,1996-06-01,132200.0
93319,80246,Denver,CO,Denver,5528,1996-06-01,148300.0
93299,80223,Denver,CO,Denver,5869,1996-06-01,83400.0
93688,81101,Alamosa,CO,Alamosa,6324,1996-06-01,52600.0
93218,80030,Westminster,CO,Adams,6779,1996-06-01,100900.0
93312,80236,Denver,CO,Denver,6891,1996-06-01,127800.0
93723,81201,Salida,CO,Chaffee,7547,1996-06-01,99400.0
93577,80863,Woodland Park,CO,Teller,7580,1996-06-01,150300.0
93737,81230,Gunnison,CO,Gunnison,7662,1996-06-01,99700.0
93306,80230,Denver,CO,Denver,8540,1996-06-01,257200.0
93493,80640,Commerce City,CO,Adams,8665,1996-06-01,145100.0
93725,81211,Buena Vista,CO,Chaffee,8677,1996-06-01,99400.0
93374,80421,Bailey,CO,Park,8799,1996-06-01,124000.0
93311,80235,Denver,CO,Denver,8995,1996-06-01,177700.0
93732,81224,Crested Butte,CO,Gunnison,9274,1996-06-01,213800.0
93551,80816,Florissant,CO,Teller,9542,1996-06-01,65800.0
93234,80102,Bennett,CO,Adams,10639,1996-06-01,124800.0
93265,80136,Strasburg,CO,Adams,10681,1996-06-01,126100.0
93549,80814,Divide,CO,Teller,10965,1996-06-01,103400.0
93396,80446,Granby,CO,Grand,11159,1996-06-01,102800.0
93393,80442,Fraser,CO,Grand,12023,1996-06-01,116200.0
93397,80447,Grand Lake,CO,Grand,12040,1996-06-01,123600.0
93392,80440,Fairplay,CO,Park,12096,1996-06-01,68200.0
93426,80482,Winter Park,CO,Grand,12277,1996-06-01,142600.0
93548,80813,Cripple Creek,CO,Teller,12902,1996-06-01,79300.0
93742,81236,Nathrop,CO,Chaffee,13610,1996-06-01,105600.0
93399,80449,Hartsel,CO,Park,14218,1996-06-01,30900.0
93562,80827,Lake George,CO,Park,14523,1996-06-01,77400.0
93405,80456,Jefferson,CO,Park,14686,1996-06-01,38800.0
93733,81225,Mount Crested Butte,CO,Gunnison,14722,1996-06-01,193700.0
93295,80219,Denver,CO,Denver,611,1996-07-01,84700.0
93252,80123,Denver,CO,Denver,753,1996-07-01,163900.0
93305,80229,Thornton,CO,Adams,943,1996-07-01,95300.0
93309,80233,Northglenn,CO,Adams,1106,1996-07-01,111600.0
93296,80220,Denver,CO,Denver,1249,1996-07-01,142200.0
93307,80231,Denver,CO,Denver,1272,1996-07-01,155700.0
93287,80210,Denver,CO,Denver,1326,1996-07-01,153400.0
93288,80211,Denver,CO,Denver,1388,1996-07-01,93400.0
93212,80022,Commerce City,CO,Adams,1681,1996-07-01,102700.0
93211,80021,Westminster,CO,Adams,1761,1996-07-01,131800.0
93282,80205,Denver,CO,Denver,1844,1996-07-01,69600.0
93280,80203,Denver,CO,Denver,1941,1996-07-01,136600.0
93320,80247,Denver,CO,Denver,1948,1996-07-01,140100.0
93281,80204,Denver,CO,Denver,2156,1996-07-01,74400.0
93297,80221,Sherrelwood,CO,Adams,2166,1996-07-01,95600.0
93219,80031,Westminster,CO,Adams,2261,1996-07-01,131600.0
93286,80209,Denver,CO,Denver,2327,1996-07-01,196600.0
93283,80206,Denver,CO,Denver,2331,1996-07-01,185000.0
93474,80601,Brighton,CO,Adams,2721,1996-07-01,128500.0
93330,80260,Thornton,CO,Adams,2863,1996-07-01,111400.0
93294,80218,Denver,CO,Denver,3055,1996-07-01,193200.0
93313,80237,Denver,CO,Denver,3118,1996-07-01,190500.0
93475,80602,Thornton,CO,Adams,3272,1996-07-01,170600.0
93315,80239,Denver,CO,Denver,3344,1996-07-01,94300.0
93316,80241,Thornton,CO,Adams,3426,1996-07-01,146400.0
93310,80234,Westminster,CO,Adams,3594,1996-07-01,140600.0
93298,80222,Denver,CO,Denver,3801,1996-07-01,131300.0
93322,80249,Denver,CO,Denver,4756,1996-07-01,130700.0
93289,80212,Denver,CO,Denver,4845,1996-07-01,105700.0
93300,80224,Denver,CO,Denver,5211,1996-07-01,153400.0
93284,80207,Denver,CO,Denver,5218,1996-07-01,86300.0
93314,80238,Denver,CO,Denver,5359,1996-07-01,132700.0
93319,80246,Denver,CO,Denver,5528,1996-07-01,149400.0
93299,80223,Denver,CO,Denver,5869,1996-07-01,83700.0
93688,81101,Alamosa,CO,Alamosa,6324,1996-07-01,52800.0
93218,80030,Westminster,CO,Adams,6779,1996-07-01,101400.0
93312,80236,Denver,CO,Denver,6891,1996-07-01,128000.0
93723,81201,Salida,CO,Chaffee,7547,1996-07-01,99800.0
93577,80863,Woodland Park,CO,Teller,7580,1996-07-01,150800.0
93737,81230,Gunnison,CO,Gunnison,7662,1996-07-01,100200.0
93306,80230,Denver,CO,Denver,8540,1996-07-01,258500.0
93493,80640,Commerce City,CO,Adams,8665,1996-07-01,145500.0
93725,81211,Buena Vista,CO,Chaffee,8677,1996-07-01,100100.0
93374,80421,Bailey,CO,Park,8799,1996-07-01,124500.0
93311,80235,Denver,CO,Denver,8995,1996-07-01,177700.0
93732,81224,Crested Butte,CO,Gunnison,9274,1996-07-01,215200.0
93551,80816,Florissant,CO,Teller,9542,1996-07-01,66300.0
93234,80102,Bennett,CO,Adams,10639,1996-07-01,125700.0
93265,80136,Strasburg,CO,Adams,10681,1996-07-01,126100.0
93549,80814,Divide,CO,Teller,10965,1996-07-01,103800.0
93396,80446,Granby,CO,Grand,11159,1996-07-01,103400.0
93393,80442,Fraser,CO,Grand,12023,1996-07-01,117000.0
93397,80447,Grand Lake,CO,Grand,12040,1996-07-01,123800.0
93392,80440,Fairplay,CO,Park,12096,1996-07-01,69600.0
93426,80482,Winter Park,CO,Grand,12277,1996-07-01,142500.0
93548,80813,Cripple Creek,CO,Teller,12902,1996-07-01,80000.0
93742,81236,Nathrop,CO,Chaffee,13610,1996-07-01,106400.0
93399,80449,Hartsel,CO,Park,14218,1996-07-01,31400.0
93562,80827,Lake George,CO,Park,14523,1996-07-01,78000.0
93405,80456,Jefferson,CO,Park,14686,1996-07-01,39600.0
93733,81225,Mount Crested Butte,CO,Gunnison,14722,1996-07-01,195000.0
93295,80219,Denver,CO,Denver,611,1996-08-01,85100.0
93252,80123,Denver,CO,Denver,753,1996-08-01,163800.0
93305,80229,Thornton,CO,Adams,943,1996-08-01,95900.0
93309,80233,Northglenn,CO,Adams,1106,1996-08-01,112100.0
93296,80220,Denver,CO,Denver,1249,1996-08-01,143500.0
93307,80231,Denver,CO,Denver,1272,1996-08-01,156200.0
93287,80210,Denver,CO,Denver,1326,1996-08-01,154500.0
93288,80211,Denver,CO,Denver,1388,1996-08-01,94100.0
93212,80022,Commerce City,CO,Adams,1681,1996-08-01,103200.0
93211,80021,Westminster,CO,Adams,1761,1996-08-01,132100.0
93282,80205,Denver,CO,Denver,1844,1996-08-01,70100.0
93280,80203,Denver,CO,Denver,1941,1996-08-01,137400.0
93320,80247,Denver,CO,Denver,1948,1996-08-01,140400.0
93281,80204,Denver,CO,Denver,2156,1996-08-01,75100.0
93297,80221,Sherrelwood,CO,Adams,2166,1996-08-01,96200.0
93219,80031,Westminster,CO,Adams,2261,1996-08-01,132100.0
93286,80209,Denver,CO,Denver,2327,1996-08-01,197600.0
93283,80206,Denver,CO,Denver,2331,1996-08-01,186300.0
93474,80601,Brighton,CO,Adams,2721,1996-08-01,128900.0
93330,80260,Thornton,CO,Adams,2863,1996-08-01,111900.0
93294,80218,Denver,CO,Denver,3055,1996-08-01,194400.0
93313,80237,Denver,CO,Denver,3118,1996-08-01,191200.0
93475,80602,Thornton,CO,Adams,3272,1996-08-01,170600.0
93315,80239,Denver,CO,Denver,3344,1996-08-01,95000.0
93316,80241,Thornton,CO,Adams,3426,1996-08-01,146700.0
93310,80234,Westminster,CO,Adams,3594,1996-08-01,140700.0
93298,80222,Denver,CO,Denver,3801,1996-08-01,131900.0
93322,80249,Denver,CO,Denver,4756,1996-08-01,131100.0
93289,80212,Denver,CO,Denver,4845,1996-08-01,106600.0
93300,80224,Denver,CO,Denver,5211,1996-08-01,153900.0
93284,80207,Denver,CO,Denver,5218,1996-08-01,86500.0
